timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681813397783,211,/actions/Catalog.action-57-4,200,,JpetReg_Dynamic 1-3,bin,true,,329,526,3,3,https://petstore.octoperf.com/images/separator.gif,211,0,0
1681813397995,215,/actions/Catalog.action-57-5,200,,JpetReg_Dynamic 1-3,bin,true,,556,524,3,3,https://petstore.octoperf.com/images/sm_fish.gif,214,0,0
1681813398210,223,/actions/Catalog.action-57-6,200,,JpetReg_Dynamic 1-3,bin,true,,591,524,3,3,https://petstore.octoperf.com/images/sm_dogs.gif,223,0,0
1681813398435,209,/actions/Catalog.action-57-7,200,,JpetReg_Dynamic 1-3,bin,true,,683,528,3,3,https://petstore.octoperf.com/images/sm_reptiles.gif,209,0,0
1681813398645,223,/actions/Catalog.action-57-8,200,,JpetReg_Dynamic 1-3,bin,true,,574,524,3,3,https://petstore.octoperf.com/images/sm_cats.gif,223,0,0
1681813398869,226,/actions/Catalog.action-57-9,200,,JpetReg_Dynamic 1-3,bin,true,,536,525,3,3,https://petstore.octoperf.com/images/sm_birds.gif,226,0,0
1681813399096,214,/actions/Catalog.action-57-10,200,,JpetReg_Dynamic 1-3,bin,true,,724,526,3,3,https://petstore.octoperf.com/images/fish_icon.gif,214,0,0
1681813399311,220,/actions/Catalog.action-57-11,200,,JpetReg_Dynamic 1-3,bin,true,,753,526,3,3,https://petstore.octoperf.com/images/dogs_icon.gif,220,0,0
1681813399532,214,/actions/Catalog.action-57-12,200,,JpetReg_Dynamic 1-3,bin,true,,693,526,3,3,https://petstore.octoperf.com/images/cats_icon.gif,214,0,0
1681813399746,213,/actions/Catalog.action-57-13,200,,JpetReg_Dynamic 1-3,bin,true,,954,530,3,3,https://petstore.octoperf.com/images/reptiles_icon.gif,213,0,0
1681813399959,211,/actions/Catalog.action-57-14,200,,JpetReg_Dynamic 1-3,bin,true,,756,527,3,3,https://petstore.octoperf.com/images/birds_icon.gif,211,0,0
1681813400171,365,/actions/Catalog.action-57-15,200,,JpetReg_Dynamic 1-3,bin,true,,36386,523,3,3,https://petstore.octoperf.com/images/splash.gif,213,0,0
1681813396891,3644,01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-3,,true,,59394,8356,3,3,null,247,1,0
1681813400538,334,/actions/Account.action;jsessionid=DB214B0BB74BFD72B29CB3683A750FA1-81,200,,JpetReg_Dynamic 1-3,text,true,,3849,654,3,3,https://petstore.octoperf.com/actions/Account.action;jsessionid=B305A631193026F5CAD4EFBE11640EB6?signonForm=,334,0,0
1681813400538,334,/actions/Account.action;jsessionid=DB214B0BB74BFD72B29CB3683A750FA1-81-0,200,,JpetReg_Dynamic 1-3,text,true,,3849,654,3,3,https://petstore.octoperf.com/actions/Account.action;jsessionid=B305A631193026F5CAD4EFBE11640EB6?signonForm=,334,0,0
1681813400538,334,02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-3,,true,,3849,654,3,3,null,334,1,0
1681813397352,3587,/actions/Catalog.action-57,200,,JpetReg_Dynamic 1-1,text,true,,59394,8356,3,3,https://petstore.octoperf.com/actions/Catalog.action,235,0,0
1681813397352,235,/actions/Catalog.action-57-0,200,,JpetReg_Dynamic 1-1,text,true,,5419,475,3,3,https://petstore.octoperf.com/actions/Catalog.action,235,0,0
